N°,Año,Título,Protagonistas,Director,Género,Ub
17,2006,V FOR VENDETTA,NATALIE PORTMAN,,"TERROR, SUSPENSO",1
39,2012,VALIENTE,DISNEY,,ANIMADO,12
16,,VAQUEROS DEL ESPACIO,,,,16
35,2008,VIAJE AL CENTRO DE LA TIERRA,BRENDN FRASER,,"ACCIÓN, SUSPENSO, FICCIÓN",6
1,87-10,WALL STRET COLLECTION (1y2),MICHAEL DOUGLAS,,"DRAMA, SUSPENSO",6
34,2008,WALL.E,,,"Animada, aventura, fam",4
32,2011,WINTER EL DELFIN,HARRY CONNIK,,"DRAMA, COMEDIA",2
14,2012,WU DANG,VINCET ZHAO,,ACCION ARTES MARCIALES,12
16,2003,X2: X-MEN UNITED,,,"Accion, Aventura, Ciencia F.",3
15,2000,X-MEN,,,"Accion, Aventura, Ciencia F.",3
17,2006,X-MEN X3: THE LAST STAND,,,"Accion, Aventura, Ciencia F.",3
18,2009,"X-MEN, ORIGENES",,,"Accion, Aventura, Ciencia F.",3
19,2011,"X-MEN, PRIMERA GENERACIÓN",,,"Accion, Aventura, Ciencia F.",3
8,,,,,,5
10,,,,,,5
12,,,,,,5
