N°,Año,Título,Protagonistas,Director,Género,Ub
29,,DICTADO,MIRA SORVINO,,SUSPENSO TERROR,9
7,1975,DIRTY DANCING,PATRICK SWAYZE,EMILE ARDOLINO,DRAMA - BAILE,15
21,2013,DJANGO DESENCADENADO,JAMIE FOX,QUENTIN TARANTINO,WESTERN,15
34,,DOBLEMENTE ARMADOS,DENZEL WASHINTON,,ACCION POLICIAL,16
5,,DOLOR Y DINERO,MARK WAHLBERG,,"ACCION, DRAMA",16
35,2012,DOS DIAS EN NEW YORK,CHRIS ROCK,,COMEDIA,12
21,1992,DRÁCULA,GARY OLDMAN,,"TERROR, SUSPENSO",1
28,,DRAGON ROJO,ANTHONY HOPKINS,,THRILER PSICOLOGICO,10
25,2011,DRIVE,RYAN GOSLING,,"ACCIÓN, DRAMA, CRIMEN",6
36,,D-TOX,SILVESTER STALLONE,,ACCION POLICIAL,13
3,,DULDE VENGANZA,,,,16
1,,DURO DE MATAR 1,BRUCE WILLIS,,THRILLER POLICIAL,10
2,,DURO DE MATAR 2,BRUCE WILLIS,,THRILLER POLICIAL,10
3,,DURO DE MATAR 3,BRUCE WILLIS,,THRILLER POLICIAL,10
4,,DURO DE MATAR 4,BRUCE WILLIS,,THRILLER POLICIAL,10
10,,E.T. EL EXTRATERRESTRE,SPIELBERG,,FICCION,13
8,,EFECTOS SECUNDARIOS,,,,16
11,2012,EL ABCs DE LA MUERTE,VARIOS,26 DIRECTORES,CORTOS DE TERROR,15
19,2002,EL ARO,NAOMI WATTS,GORE VERBINSKI,HORROR,15
28,2011,EL ARTISTA,JEAN DUJARDIN,,COMEDIA MUDA,1
14,2012,EL ASESINO (THE FACTORY),JOHN CUSACK,MORGAN O´NEILL,SUSPENSO,15
23,,EL ATLAS DE LAS NUBES,TOM HANKS,,DRAMAS ENCONTRADOS,9
26,2011,EL AVISPON VERDE,SETH ROGEN,,"Ciencia F. Aventura, Drama",5
5,,EL BESO DEL DRAGÓN,JET LI,,ARTES MARCIALES,11
21,,EL BUEN DOCTOR,ORLANDO BLOOM,,THRILLER MEDICO ,12
2,2005,EL CADAVER DE LA NOVIA,,,"Animada, aventura, fam",4
39,2010,EL CAMINO,Martin Sheen,,"Drama, Biografia",7
11,,EL CAMINO DEL GUERRERO,DONG-GUN JANG,,"MARCIALES, FANTASIA",11
21,1997,EL CHACAL,BRUCE WILLIS,,SUSPENSO HISTORICA,14
9,,EL CHEF,,,,16
4,2010,EL CISNE NEGRO,NATALI PORTMAN,,DRAMA PSICOLOGICO,2
11,1999,EL CLUB DE LA PELEA,Brad Pitt,,"COMEDIA, DRAMA",6
20,2013,EL CONJURO,RON LIVINGSTON,,"TERROR, SUSPENSO",2
